No,Status,Group,Post URL,Message,Score,Reason,PostDate (UTC+7),ScrapeAt (UTC+7)
25,❌ Rejected,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299736198793109/,"ราคาพุ่งแรง !!  เปิดให้จองแล้ววันนี้ 
แผง PV  ราคาพิเศษ !! พิเศษสุด ๆ 
- AIKO-A-MDE72Mw-670W / 770W
-... ดูเพิ่มเติม",0,โพสต์เป็นประกาศขายแผงโซลาร์เซลล์ พร้อมเชิญชวนจองซื้อ ผู้โพสต์เป็นผู้ขาย/ผู้จัดจำ,2 นาที,2026-04-27 15:42:57
26,❌ Rejected,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4067565863543039/,รีวิว  ทดสอบเครื่องไฟฟ้า ใช้งานได้จริงไหม ลองกันชัดๆ ไม่มีตัดต่อ ไม่มีรีวิวแอ... ดูเพิ่มเติม,0,โพสต์นี้เป็นการขอรีวิวหรือทดสอบอุปกรณ์ไฟฟ้าทั่วไป ไม่ได้แสดงความต้องการซื้อหรือต,"ตอบกลับเร็วมาก
 
1 ชั่วโมง",2026-04-27 15:43:28
27,❌ Rejected,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4066432803656345/,"ขายแผงโซลาเซลค่ะ มีอยู่ 2 ชิ้น ใครสนใจทักมาสอบถามได้เลยนะคะ อยู่แถวบางนา หรือจะส่งลาล่ามูฟก็ได้ค่ะ ของไม่มีตำหนิไม่เคยใช้  สภาพใหม่ ราคาเต็มอยู่ที่ 5,xxx สามารถเช็คได้เลยค่ะ ยี่ห้อ Sunman",0,ผู้โพสต์ระบุชัดเจนว่าขายแผงโซลาเซล ถือเป็นผู้ขาย ไม่ใช่ผู้ต้องการซื้อหรือติดตั้ง,1 วัน,2026-04-27 15:43:34
28,❌ Rejected,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299709005462495/,"กลางคืนใช้ไฟ แอร์18,000BTU แบบไม่มีอินเวอร์เตอร์1เครื่องและตู้เย็นเครื่องใหญ่1เครื่อง ควรใช้แบตเท่าไหร่คับที่สามารถถึงเช้าเลย",0,Parse error,47 นาที,2026-04-27 15:43:03
29,❌ Rejected,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4067561483543477/,"อินเวอร์เตอร์ แปลงไฟ 24V เป็น 220V ขนาด 3,000 วัตต์ ยี่ห้อ WE POWER MAX... ดูเพิ่มเติม",0,โพสต์นี้เป็นการประกาศขายอินเวอร์เตอร์ ไม่ได้ระบุความต้องการซื้อหรือติดตั้งระบบโซ,"ตอบกลับเร็วมาก
 
1 ชั่วโมง",2026-04-27 15:43:28
30,❌ Rejected,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4063460377286921/,มาๆมาแล้ว  แผงมือ 2  ที่คุณอยากได้  ราคาถูก !!  แผง 310 w มือ2  ใช้สูบน้ำ ปั้ม... ดูเพิ่มเติม,0,โพสต์นี้เป็นการขายแผงโซลาร์เซลล์มือสอง (แผง 310w) ผู้โพสต์เป็นผู้ขาย ไม่ใช่ผู้ที,4 วัน,2026-04-27 15:43:47
31,❌ Rejected,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4067550620211230/,แบตลิเธียม ฟอสเฟต 3.2  100แอม มือสอง ค่าir ประมาณ 0.6  นัดรับอ่างทองหรือใกล้เคียง ส่งขนส่ง มีปลายทาง,0,ผู้ขายแบตเตอรี่ลิเธียมมือสอง ไม่เกี่ยวกับการซื้อหรือติดตั้งโซลาร์เซลล์,1 ชั่วโมง,2026-04-27 15:43:43
32,❌ Rejected,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4061443357488623/,"TRINA SOLAR
ซื้อจำนวนเยอะ
EPC
มีราคาพิเศษ... ดูเพิ่มเติม",0,เป็นผู้ขายอุปกรณ์ solar และให้บริการ EPC มีราคาพิเศษ สนใจขายสินค้าไม่ใช่ต้องการซ,6 วัน,2026-04-27 15:43:39
33,❌ Rejected,429829328127055,https://www.facebook.com/groups/429829328127055/posts/1605982830511693/," โคมไฟโซล่าเซลล์ 120w สปอตไลท์ โคมไฟสปอร์ตไลท์ติดสนาม ไฟพลังงานแสงอาทิตย์ ไฟกลางแจ้ง ไฟสวนโซล่าเซลล์ 
 ราคา  ฿626  บาท
สั่งซื้อ https://s.shopee.co.th/4AwKnYXbZ0
สั่งซื้อ https://s.lazada.co.th/s.ZgGU",0,ผู้โพสต์เป็นผู้ขายสินค้าโซล่าเซลล์ (โคมไฟโซล่าเซลล์) บน Shopee และ Lazada ไม่ใช่,2 ชั่วโมง,2026-04-27 15:44:10
34,❌ Rejected,429829328127055,https://www.facebook.com/groups/429829328127055/posts/1606069573836352/,ยังคงใช้ระบบกักเก็บพลังงานแบบเก่าอยู่ใช่ไหม? ลองดูระบบจัดเก็บพลังงานขนาด 15kwh... ดูเพิ่มเติม,0,โพสต์นี้เป็นการโปรโมท/ขายระบบจัดเก็บพลังงาน ไม่ใช่ผู้สนใจติดตั้ง ผู้โพสต์เป็นผู้,14 นาที,2026-04-27 15:44:05
35,❌ Rejected,429829328127055,https://www.facebook.com/groups/429829328127055/posts/1606018743841435/, เคสติดตั้งจริง | GENIXGREEN 16.07 kWh... ดูเพิ่มเติม,2,โพสต์เป็นกรณีติดตั้งจริงของ GENIXGREEN ซึ่งเป็นเนื้อหาโฆษณาขายสินค้า ไม่ใช่ผู้ต้,1 ชั่วโมง,2026-04-27 15:44:05
36,❌ Rejected,429829328127055,https://www.facebook.com/groups/429829328127055/posts/1605965847180058/,"จำหน่ายแผงโซล่าร์เซลล์
คุณภาพมาตรฐานระดับโลก Tier 1... ดูเพิ่มเติม",0,โพสต์เป็นผู้จำหน่ายแผงโซล่าร์เซลล์ (Tier 1) คือผู้ขายสินค้า ไม่ใช่ผู้ต้องการซื้อ,3 ชั่วโมง,2026-04-27 15:44:19
37,❌ Rejected,429829328127055,https://www.facebook.com/groups/429829328127055/posts/1606072470502729/,"ผู้รับเหมา / ร้านติดตั้งโซลาร์ ห้ามเลื่อนผ่านโพสต์นี้
แผงโซลาร์เซลล์ **JA Solar (Tier 1)**
ราคาพิเศษระดับงานโปรเจกต์ ของมีจำนวนจำกัด
ดูเพิ่มเติม",0,ผู้โพสต์เป็นผู้รับเหมา/ร้านติดตั้งโซลาร์ที่ขายแผงโซลาร์เซลล์ JA Solar ให้กลุ่มผู,9 นาที,2026-04-27 15:44:05
38,❌ Rejected,429829328127055,https://www.facebook.com/groups/429829328127055/posts/1605932430516733/,"แผงโซลาร์เซลล์ 245W มือสอง
ราคา 550บาท / แผง
ซื้อ 10 แผงขึ้นไป เหลือ 530 บาท / แผง
หน้าร้าน สระบุรี
 พิกัดทักแชต
ดูเพิ่มเติม",0,ผู้โพสต์เป็นผู้ขายแผงโซลาร์เซลล์มือสอง ราคาขาย 550 บาท/แผง ไม่ใช่ผู้ต้องการซื้อห,4 ชั่วโมง,2026-04-27 15:44:23
