No,Category,Score,Reason,Group,Post Time,Post URL,Message
11,"🟢 LOW: ตาม",4,"🟢 LOW: ตาม","2317142971864047","2 นาที","https://www.facebook.com/groups/2317142971864047/posts/4355148808063443/","ตามหาบริษัทติดโซล่าเซลล์ที่ผ่อน 0% ได้ครับ"
12,"🟢 สนใจ/ซื้อ",6,"🟢 สนใจ/ซื้อ","2317142971864047","5 นาที","https://www.facebook.com/groups/2317142971864047/posts/4355146661396991/","ประกาศขาย inverter hybrid on off grid 6.2 k พร้อมแผง 19 แผง 315 วัตต์ในราคา 35,000บาทท่านใดสนใจของอยู่ที่ชลบุรีติดต่อได้ที่ 063-015-7484 ต้น"
13,"🟢 LOW: ตาม",4,"🟢 LOW: ตาม","2317142971864047","2 นาที","https://www.facebook.com/groups/2317142971864047/posts/4355148808063443/","ตามหาบริษัทติดโซล่าเซลล์ที่ผ่อน 0% ได้ครับ"
14,"🟢 สนใจ/ซื้อ",6,"🟢 สนใจ/ซื้อ","2317142971864047","5 นาที","https://www.facebook.com/groups/2317142971864047/posts/4355146661396991/","ประกาศขาย inverter hybrid on off grid 6.2 k พร้อมแผง 19 แผง 315 วัตต์ในราคา 35,000บาทท่านใดสนใจของอยู่ที่ชลบุรีติดต่อได้ที่ 063-015-7484 ต้น"
15,"🟢 สนใจ/ซื้อ",6,"🟢 สนใจ/ซื้อ","2317142971864047","5 นาที","https://www.facebook.com/groups/2317142971864047/posts/4355146661396991/","ประกาศขาย inverter hybrid on off grid 6.2 k พร้อมแผง 19 แผง 315 วัตต์ในราคา 35,000บาทท่านใดสนใจของอยู่ที่ชลบุรีติดต่อได้ที่ 063-015-7484 ต้น"
16,"🟢 LOW: ตาม",2,"🟢 LOW: ตาม","2317142971864047","1 นาที","https://www.facebook.com/groups/2317142971864047/posts/4355143734730617/","ขออนุญาตตามด้วยครับ"
17,"🔵 QUESTION: 2 related terms",2,"🔵 QUESTION: 2 related terms","thaisolarcell","18 ชั่วโมง","https://www.facebook.com/groups/thaisolarcell/posts/1295638865869509/","Inverter รุ่น กี่ kw กี่เฟสสครับ"
18,"🔵 QUESTION: 2 related terms",2,"🔵 QUESTION: 2 related terms","thaisolarcell","18 ชั่วโมง","https://www.facebook.com/groups/thaisolarcell/posts/1295638865869509/","Inverter รุ่น กี่ kw กี่เฟสสครับ"
19,"🔵 QUESTION: 2 related terms",2,"🔵 QUESTION: 2 related terms","thaisolarcell","18 ชั่วโมง","https://www.facebook.com/groups/thaisolarcell/posts/1295638865869509/","Inverter รุ่น กี่ kw กี่เฟสสครับ"
20,"🟢 LOW: ตาม",2,"🟢 LOW: ตาม","thaisolarcell","14 นาที","https://www.facebook.com/groups/thaisolarcell/posts/1296260345807361/","ตามหา บริษัท ติดตั้งโซ่ล่าเซลล์กับบ้าน แบบผ่อนได้เพื่อนๆมีบริษัทไหนแนะ นำมั้งครับ"
21,"🔵 QUESTION: 2 related terms",2,"🔵 QUESTION: 2 related terms","thaisolarcell","18 ชั่วโมง","https://www.facebook.com/groups/thaisolarcell/posts/1295638865869509/","Inverter รุ่น กี่ kw กี่เฟสสครับ"
22,"🟢 LOW: ตาม",2,"🟢 LOW: ตาม","thaisolarcell","14 นาที","https://www.facebook.com/groups/thaisolarcell/posts/1296260345807361/","ตามหา บริษัท ติดตั้งโซ่ล่าเซลล์กับบ้าน แบบผ่อนได้เพื่อนๆมีบริษัทไหนแนะ นำมั้งครับ"
23,"🔵 QUESTION: 3 related terms",3,"🔵 QUESTION: 3 related terms","429829328127055","4 ชั่วโมง","https://www.facebook.com/groups/429829328127055/posts/1602598617516781/","✅อัพเดทงานซ่อมคราบ🎉 #Powmr #รับซ่อมอินเวอร์เตอร์ #รับติดตั้งโซล่าเซลล์ #Anern"
