No,Group,Post URL,Message,Score,Reason,PostDate (UTC+7),Contact,ScrapedAt (UTC+7)
10,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4359382684306722/"," ล้างแผงตรวจเช็คระบบให้การทำงานมีประสิทธิภาพดีขึ้น
#กระบี่โซล่าเซลล์ตรงข้ามไปรษณีย์เหนือคลอง
#งานล้างแผงตรวจเช็คระบบ
#พลังงานทางเลือกพลังงานทางรอด
#ติดตั้งก่อนประหยัดก่อน
ดูเพิ่มเติม",0,"โพสต์นี้เป็นการโฆษณาบริการล้างแผงและตรวจเช็คระบบของบริษัทโซลาร์เซลล์ ไม่ใช่ผู้ที่ต้องการซื้อหรือติดตั้งแผงโซลาร์","2026-04-27 10:29","","2026-04-27 10:33:52"
11,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4359381857640138/","แบตเตอรี่สำรองไฟ
ถอดจากเครื่องสำรองไฟ ใช้งานแค่ 1 ปี
Energetic 12V 200ah. หนัก 60 kg.
ขนาด L240×W522xH218 mm.
ราคาลูกละ 3500 บาท 
ว่าง 2 ลูกค่ะ
ดูเพิ่มเติม",0,"ผู้โพสต์เป็นผู้ขายแบตเตอรี่สำรองไฟ ไม่ใช่ผู้ต้องการซื้อหรือติดตั้งโซลาร์เซลล์","2026-04-27 10:28","","2026-04-27 10:33:52"
12,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4359377107640613/","สอบถามครับ
ทำไมโหลดที่บ้านมันถึง ขึ้น ลง ทั้งที่เปิดแอร์ตัวเดิม เท่าเดิม และ grid ยังจ่ายไฟตลอด",1,"ผู้ใช้สอบถามเรื่องการใช้ไฟฟ้าภายในบ้าน ไม่มีความต้องการซื้อหรือติดตั้งโซลาร์เซลล์","2026-04-27 10:22","","2026-04-27 10:33:52"
13,"2317142971864047","https://www.facebook.com/groups/2317142971864047/posts/4359376190974038/","เอารถจักรยานไฟฟ้าไปแลกแผง245w.มาได้ 3 แผงแบตจากพี่ชายใจดีในโลกโซเชียล 2 ลูก 3,... ดูเพิ่มเติม",0,"Parse error","2026-04-27 10:20","","2026-04-27 10:33:52"
14,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1299541452145917/","ยินดีกับลูกค้าโซล่าเชลล์บ้านด้วยนะครับ ธนาคารอนุมัติแล้วครับ",0,"โพสต์นี้เป็นการแจ้งข่าวจากผู้ขายว่าธนาคารอนุมัติสินเชื่อให้ลูกค้าโซล่าเซลล์ ไม่ได้แสดงความต้องการซื้อหรือติดตั้ง","2026-04-27 10:29","","2026-04-27 10:33:52"
15,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1299539572146105/","ขออนุญาตแอดมินค่ะ
อัพเดทงานติดตั้งของบริษัท Sigenergy บ้านคุณตี๋ บางบอนค่ะ
ติดโซล่าเซลล์กับนิด คุ้มค่า คุ้มราคาแน่นอนค่ะ
ช่องทางการติดต่อ:
ดูเพิ่มเติม",0,"โพสต์นี้เป็นการโฆษณาบริการติดตั้งโซล่าเซลล์ของผู้ขาย/ผู้ให้บริการ ไม่ใช่ผู้ที่ต้องการซื้อหรือติดตั้งโซล่าเซลล์สำหรับตัวเอง","2026-04-27 10:26","","2026-04-27 10:33:52"
16,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1299483532151709/","เดี๋ยวนี้ติดกล้องวงจรปิดไม่ต้องต่อระบบไฟให้ยุ่งยากแล้วค่ะ ใช้ระบบโซล่าเซลล์แบบ... ดูเพิ่มเติม",0,"ผู้โพสต์เป็นผู้ขาย/ผู้ประกอบการกำลังโปรโมทสินค้ากล้องวงจรปิดพลังงานแสงอาทิตย์ ไม่ใช่ผู้ต้องการซื้อหรือติดตั้งระบบโซล่าเซลล์","2026-04-27 09:33","","2026-04-27 10:33:52"
17,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1292423836191012/","ซื้อคืน 2 บาท ขายออก 5 บาท ไม่ต้องทำเลยนะ ควรให้หักลบกันได้ในระบบไปเลย โซลาร์เซลล์บ้านที่บอกว่า ""ขายไฟได้"" ฟังดูดี แต่ต้องควักกี่แสนกว่าจะคืนทุน?
""เอกนิติ"" ขึ้นเวที IMF ที่วอชิงตัน ประกาศแผนเปิดให้ชาว",1,"ผู้โพสต์กำลังวิพากษ์เศรษฐกิจของโซลาร์เซลล์บ้านและตั้งคำถามเรื่องค่าใช้จ่ายที่ต้องควักก่อนคืนทุน ไม่ได้แสดงความต้องการซื้อหรือติดตั้ง แต่เป็นการสนทนาเรื่องนโยบายและความคุ้มค่า","","","2026-04-27 10:33:52"
18,"thaisolarcell","https://www.facebook.com/groups/thaisolarcell/posts/1298934505539945/","หาช่างมีผลงานทำโซล่าเซลล์อาคาร 10kw 28 โครงการในขอนแก่น,ชัยภูมิ
0644495288 วันธรรมดา",0,"Error: The read operation timed out","2026-04-26 18:33","","2026-04-27 10:33:52"
19,"1671213103178339","https://www.facebook.com/groups/1671213103178339/posts/4067318576901101/","ร้านโอเคแบตเตอรี่สาขาอู่ทอง
จำหน่ายแบตมือหนึ่ง และ แบตมือสอง
3K -MAX2500  ขั้ว L แบตปี68เดือน9
รับประกัน 6 เดือน โทรสอบถาม 092-279-8906 ร้านอยู่อู่ทอง",0,"โพสต์เป็นร้านขายแบตเตอรี่ ไม่เกี่ยวข้องกับการซื้อหรือติดตั้งแผงโซลาร์เซลล์ จึงไม่ถือว่าเป็นลูกค้าที่สนใจ","2026-04-27 09:33","","2026-04-27 10:33:52"
20,"1671213103178339","https://www.facebook.com/groups/1671213103178339/posts/4066432803656345/","ขายแผงโซลาเซลค่ะ มีอยู่ 2 ชิ้น ใครสนใจทักมาสอบถามได้เลยนะคะ อยู่แถวบางนา หรือจะส่งลาล่ามูฟก็ได้ค่ะ ของไม่มีตำหนิไม่เคยใช้  สภาพใหม่ ราคาเต็มอยู่ที่ 5,xxx สามารถเช็คได้เลยค่ะ ยี่ห้อ Sunman",0,"ผู้โพสต์เป็นผู้ขายแผงโซลาร์เซลล์ (ขายแผงโซลาเซลค่ะ) ไม่ได้ต้องการซื้อหรือติดตั้ง จึงไม่ใช่ลูกค้าเป้าหมาย","2026-04-26 12:33","","2026-04-27 10:33:52"
21,"1671213103178339","https://www.facebook.com/groups/1671213103178339/posts/4061443357488623/","TRINA SOLAR
ซื้อจำนวนเยอะ
EPC
มีราคาพิเศษ... ดูเพิ่มเติม",0,"ผู้โพสต์เป็นผู้ขาย/ตัวแทน TRINA SOLAR ที่อ้างขายสินค้าจำนวนมากและมีราคาพิเศษ ไม่ใช่ผู้ต้องการซื้อหรือติดตั้งระบบโซลาร์","2026-04-21 10:33","","2026-04-27 10:33:52"
22,"1671213103178339","https://www.facebook.com/groups/1671213103178339/posts/4063460377286921/","มาๆมาแล้ว  แผงมือ 2  ที่คุณอยากได้  ราคาถูก !!  แผง 310 w มือ2  ใช้สูบน้ำ ปั้ม... ดูเพิ่มเติม",0,"ผู้โพสต์เป็นผู้ขายแผงโซลาร์เซลล์มือสอง (second-hand) ราคาถูก ระบุว่าขายแผง 310w มือสอง สำหรับสูบน้ำ ปั้ม ไม่ใช่ผู้ต้องการซื้อหรือติดตั้งระบบโซลาร์เซลล์","2026-04-24 10:33","","2026-04-27 10:33:52"
23,"1671213103178339","https://www.facebook.com/groups/1671213103178339/posts/4064509743848651/","สตูดิโอ 0 ห้องน้ำ - อพาร์ทเมนท์
โฮมโปร, ถนน เทพกษัตรี, ศรีสุนทร, ถลาง, ภูเก็ต 83110, ประเทศไทย
 ด่วน! ที่ดินทำเลทอง ติดถนนใหญ่ ใกล้ HomePro ถลาง ภูเก็ต... ดูเพิ่มเติม",0,"โพสต์นี้เป็นเรื่องอสังหาริมทรัพย์ (อพาร์ทเมนท์และที่ดินขาย/ให้เช่า) ไม่เกี่ยวข้องกับการติดตั้งโซลาร์เซลล์","2026-04-25 10:33","","2026-04-27 10:33:52"
24,"429829328127055","https://www.facebook.com/groups/429829328127055/posts/1605842747192368/","แผงโซล่าเซลล์ 245 วัตต์ มือ2
สภาพสวย พร้อมใช้งาน
[
ของมีจำนวนจำกัด
]
ราคา550/แผง
ซื้อ10แผงขึ้นไป เหลือ530/แผง
ดูเพิ่มเติม",0,"ผู้โพสต์เป็นผู้ขายแผงโซล่าเซลล์มือสอง ระบุราคาและเงื่อนไขการซื้อขายชัดเจน ไม่ใช่ผู้ที่ต้องการซื้อหรือติดตั้งระบบโซล่าเซลล์","2026-04-27 09:33","","2026-04-27 10:33:52"
25,"429829328127055","https://www.facebook.com/groups/429829328127055/posts/1605838023859507/","Deye Micro Inverter 1.6kW/2.25kW พร้อม Rapid Shutdown Build in AFCI  - ประกัน ... ดูเพิ่มเติม",0,"โพสต์เป็นโฆษณาขายอุปกรณ์ Solar ของผู้ขาย ไม่ได้แสดงความต้องการซื้อหรือติดตั้ง","2026-04-27 09:33","","2026-04-27 10:33:52"
26,"429829328127055","https://www.facebook.com/groups/429829328127055/posts/1605825563860753/"," ถูกจริง ใช้ได้จริง! ใครหาโซล่าเซลล์อยู่ ห้ามพลาดตัวนี้
 แผงโซลาร์เซลล์ 245W มือ 2 หน้าใส
 สภาพสวย คัดแล้วทุกแผง
 ไฟออกเต็ม ใช้งานได้จริง ไม่ต้องลุ้น
ดูเพิ่มเติม",0,"ผู้โพสต์เป็นผู้ขายแผงโซลาร์เซลล์มือสอง ไม่ใช่ผู้ต้องการซื้อ/ติดตั้ง","2026-04-27 09:33","","2026-04-27 10:33:52"
27,"429829328127055","https://www.facebook.com/groups/429829328127055/posts/1605819337194709/"," ชุดปั๊มหอยโข่งโซล่าเซลล์ Handuro AC/DC 750w 1100w 1500w 2200w 1.5” 2” 3” 4” ชุดพร้อมใช้ปั๊มโซล่าเซลล์
ชุดปั๊มหอยโข่ง 2 ระบบ ชุดปั๊มโซล่าเซลล์ แฮนดูโร่
 ขายในราคา ฿12,000  บาท
สั่งซื้อ https://s.shope",0,"ผู้โพสต์เป็นผู้ขายชุดปั๊มหอยโข่งโซล่าเซลล์ (ราคา 12,000 บาท) มีลิงก์สั่งซื้อสินค้า ไม่ใช่ผู้ต้องการซื้อหรือติดตั้ง","2026-04-27 08:33","","2026-04-27 10:33:52"
28,"429829328127055","https://www.facebook.com/groups/429829328127055/posts/1604980507278592/","อรุณสวัสดิ์! มาเริ่มสร้างสังคมที่ดีไปด้วยกันเถอะ",0,"โพสต์ทั่วไปทักทายและพูดถึงการสร้างสังคมที่ดี ไม่มีความสนใจในการซื้อหรือติดตั้งโซลาร์เซลล์","ผู้ดูแล
 
3 ชั่วโมง","","2026-04-27 10:33:52"
29,"429829328127055","https://www.facebook.com/groups/429829328127055/posts/1605780023865307/","240W แผงละ 499 บาท... ดูเพิ่มเติม",0,"ผู้โพสต์เป็นผู้ขายแผงโซลาร์เซลล์ ราคา 499 บาทต่อแผง ไม่ใช่ผู้ที่ต้องการซื้อหรือติดตั้ง","2026-04-27 07:33","","2026-04-27 10:33:52"
