No,Status,Group,Post URL,Message,Score,Reason,PostDate (UTC+7),ScrapeAt (UTC+7)
11,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527593107509871/,ผู้รับเหมา / ร้านติดตั้งโซลาร์ ห้ามเลื่อนผ่านโพสต์นี้!... ดูเพิ่มเติม,0,โพสต์นี้เป็นข้อเสนอจากผู้รับเหมาหรือร้านติดตั้งโซลาร์ ไม่ใช่ผู้สนใจซื้อหรือติดตั,30 นาที,2026-04-27 14:52:18
12,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527592940843221/,"สายไฟ PV Cable สายไฟ PV ขนาด 6 sq.mm.ยี่ห้อ LINK สีแดง/ดำ 1,000R M. /Roll... ดูเพิ่มเติม",0,ผู้โพสต์เป็นผู้ขายสายไฟ PV Cable ซึ่งเป็นสินค้าสำหรับงานโซลาร์เซลล์ ไม่ใช่ผู้ต้อ,31 นาที,2026-04-27 14:52:18
13,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527586280843887/,"ราคา 65,000 บาท... ดูเพิ่มเติม",1,ผู้ขายโพสต์ราคาแพนเซลเพื่อโฆษณาขาย ไม่ใช่ผู้ซื้อที่ต้องการติดตั้ง,41 นาที,2026-04-27 14:52:24
14,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527582014177647/,Inbox เลยค่า,1,Inbox เลยค่ะ เป็นคำที่ใช้ในการขายสินค้าหรือบริการ มากกว่าจะเป็นคนที่อยากติดตั้งโ,47 นาที,2026-04-27 14:52:32
15,❌ Rejected,1925997401002801,https://www.facebook.com/groups/1925997401002801/posts/4527580494177799/,สนใจสินค้าทักแชทสอบถามได้นะคะ หรือทักแชทสอบถามทางเพจ JPEN Market ได้เลยนะคะ หร... ดูเพิ่มเติม,0,โพสต์นี้เป็นการโปรโมท/ขายสินค้าของร้าน JPEN Market ไม่ใช่ผู้ที่ต้องการซื้อหรือติ,50 นาที,2026-04-27 14:52:44
16,❌ Rejected,383849116272497,https://www.facebook.com/groups/383849116272497/posts/1659722728685123/," แผงโซลาร์เซลล์ 245W มือสอง สภาพสวย ใช้งานได้จริง 
  ... ดูเพิ่มเติม",0,ผู้โพสต์เป็นผู้ขายแผงโซลาร์เซลล์มือสอง ต้องการขายสินค้า ไม่ใช่ผู้ที่ต้องการซื้อห,2 วัน,2026-04-27 14:53:01
17,❌ Rejected,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359582850953372/,เกือบแล้วครับดีที่มาเห็น จุดที่ไม่โดนแสงกลายเป็นจุดที่มีความต้านทานสูงเลยร้อนเกือบไหม้,1,ผู้โพสต์กำลังพูดถึงเรื่องเทคนิคของโซลาร์เซลล์เรื่องจุดร้อน (hotspot) จากเงาบัง ไ,22 นาที,2026-04-27 14:53:36
18,❌ Rejected,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359580600953597/,ระวังมิจครับเพื่อนเพื่อนพี่พี่น้อง,0,ข้อความเป็นการเตือนเรื่องมิจฉาชีพ ไม่เกี่ยวข้องกับการซื้อหรือติดตั้งโซลาร์เซลล์,25 นาที,2026-04-27 14:53:36
19,❌ Rejected,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359579757620348/,อินเวอเตอร์deye on off 10kw 1pประกัน10ปี... ดูเพิ่มเติม,0,ผู้โพสต์เป็นผู้ขายอินเวอร์เตอร์ Deye ไม่ได้ระบุความต้องการซื้อหรือติดตั้ง,27 นาที,2026-04-27 14:53:48
20,❌ Rejected,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359578860953771/,"แชร์ประสบการณ์ตรงครับ ระบบโซล่าเซลล์ (No Battery) ของผมจู่ๆ ก็ใช้ไม่ได้ ATS ดีดกลับไปไฟหลวงตลอด ทั้งที่แดดเปรี้ยง ไล่ไปไล่มามาตกม้าตายที่ ""ตัวกันดูด (RCBO)"" ครับ
แชร์ประสบการณ์ครับอาการที่เจอ
วัดไฟขาเ",0,ผู้โพสต์แชร์ประสบการณ์ปัญหาทางเทคนิคของระบบโซลาร์เซลล์ที่ตนเองใช้งานอยู่ ไม่ได้แ,"28 นาที
 
﻿Relaxante
 
 · Salimx",2026-04-27 14:53:52
21,❌ Rejected,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359577214287269/,ที่เกาหลีใต้ เขามีถนนสายหนึ่งที่เอา “แผงโซลาร์เซลล์” มาทำเป็นหลังคา แล้วด้านล่... ดูเพิ่มเติม,0,โพสต์แชร์ข่าวน่าสนใจเกี่ยวกับถนนโซลาร์เซลล์ที่เกาหลีใต้ ไม่มีเจตนาซื้อหรือติดตั้,30 นาที,2026-04-27 14:53:58
22,❌ Rejected,2317142971864047,https://www.facebook.com/groups/2317142971864047/posts/4359575354287455/,อยากได้มอเตอร์ใช้กับปั้ม เพาลอย3นิ้วท่อ ออก1.5นิ้วใช้มอเตอร์แบบไหนดีครับ,0,ผู้ใช้ถามเกี่ยวกับมอเตอร์สำหรับปั้มน้ำ/เพาลอย ไม่เกี่ยวข้องกับการซื้อหรือติดตั้ง,33 นาที,2026-04-27 14:54:04
23,❌ Rejected,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299671972132865/,"""เช็กด่วน! 
#ค่าไฟจ่อปรับขึ้นเป็น 3.95 บาท/หน่วย (เพิ่ม Ft 16.23 สตางค์) เริ่ม พ.ค. 69 นี้ 
#นโยบาย
#ค่าไฟฟ้า",0,โพสต์เป็นข่าวเกี่ยวกับการปรับขึ้นค่าไฟฟ้า ไม่มีการแสดงความต้องการซื้อหรือติดตั้ง,59 นาที,2026-04-27 14:54:24
24,❌ Rejected,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299698128796916/,แบตเตอรี่ลิเธียมฟอสเฟต LiFePO4 12v 100Ah BMS DALY ประกอบพร้อมใช้งาน สินค้าพร้อมส่ง,0,โพสต์นี้เป็นการประกาศขายแบตเตอรี่ลิเธียมฟอสเฟต LiFePO4 ซึ่งไม่แสดงถึงความต้องการ,17 นาที,2026-04-27 14:54:28
25,❌ Rejected,thaisolarcell,https://www.facebook.com/groups/thaisolarcell/posts/1299699632130099/,JD solar fan พัดลมตั้งโต๊ะ พัดลมโซล่าเซล 18นิ้ว ... ดูเพิ่มเติม,0,ผู้ขายสินค้าโซล่าเซล (พัดลมโซล่าเซล) ไม่ใช่ผู้ที่ต้องการซื้อหรือติดตั้งระบบโซล่า,14 นาที,2026-04-27 14:54:44
26,❌ Rejected,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4067565863543039/,รีวิว  ทดสอบเครื่องไฟฟ้า ใช้งานได้จริงไหม ลองกันชัดๆ ไม่มีตัดต่อ ไม่มีรีวิวแอ... ดูเพิ่มเติม,0,โพสต์เป็นการรีวิวทดสอบเครื่องไฟฟ้า ไม่มีความต้องการซื้อหรือติดตั้งแผงโซลาร์เซลล์,"ตอบกลับเร็วมาก
 
23 นาที",2026-04-27 14:55:11
27,❌ Rejected,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4067561483543477/,"อินเวอร์เตอร์ แปลงไฟ 24V เป็น 220V ขนาด 3,000 วัตต์ ยี่ห้อ WE POWER MAX... ดูเพิ่มเติม",0,Parse error,"ตอบกลับเร็วมาก
 
29 นาที",2026-04-27 14:55:11
28,❌ Rejected,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4066268097006149/,Changer... ดูเพิ่มเติม,0,ไม่มีข้อมูลเกี่ยวกับความต้องการซื้อหรือติดตั้งโซลาร์เซลล์ ข้อความเป็นเพียงการโปร,1 วัน,2026-04-27 14:55:11
29,❌ Rejected,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4067550620211230/,แบตลิเธียม ฟอสเฟต 3.2  100แอม มือสอง ค่าir ประมาณ 0.6  นัดรับอ่างทองหรือใกล้เคียง ส่งขนส่ง มีปลายทาง,0,ผู้โพสต์เป็นผู้ขายแบตเตอรี่มือสอง ไม่ได้ต้องการซื้อหรือติดตั้งระบบโซลาร์เซลล์ จึ,46 นาที,2026-04-27 14:55:18
30,❌ Rejected,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4061443357488623/,"TRINA SOLAR
ซื้อจำนวนเยอะ
EPC
มีราคาพิเศษ... ดูเพิ่มเติม",0,โพสต์นี้เป็นผู้ขาย/ผู้ให้บริการ EPC ที่ต้องการขายแผงโซลาร์เซลล์ TRINA SOLAR ในรา,6 วัน,2026-04-27 14:55:27
31,❌ Rejected,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4067412926891666/," แผงโซลาร์เซลล์ 245W - 250W แผงมือ2 สภาพดี พร้อมใช้งาน 
 แผงละ 550 บาท
 10 แผงขึ้นไป เหลือเพียง 530 บาท/แผง
... ดูเพิ่มเติม",0,โพสต์นี้เป็นการขายแผงโซลาร์เซลล์มือสอง (ผู้ขาย) ไม่ใช่ผู้ที่ต้องการซื้อหรือติดตั,"ตอบกลับเร็วมาก
 
4 ชั่วโมง",2026-04-27 14:55:32
32,❌ Rejected,1671213103178339,https://www.facebook.com/groups/1671213103178339/posts/4063460377286921/,มาๆมาแล้ว  แผงมือ 2  ที่คุณอยากได้  ราคาถูก !!  แผง 310 w มือ2  ใช้สูบน้ำ ปั้ม... ดูเพิ่มเติม,0,ผู้ขายแผงโซลาร์เซลล์มือสอง (310W) ไม่ใช่ผู้ซื้อ/ต้องการติดตั้ง,4 วัน,2026-04-27 14:55:36
33,❌ Rejected,429829328127055,https://www.facebook.com/groups/429829328127055/posts/1606018743841435/, เคสติดตั้งจริง | GENIXGREEN 16.07 kWh... ดูเพิ่มเติม,0,โพสต์นี้เป็นการแสดงเคสติดตั้งของผู้ขาย ไม่ได้บ่งบอกว่าผู้โพสต์ต้องการซื้อหรือติด,56 นาที,2026-04-27 14:55:57
34,❌ Rejected,429829328127055,https://www.facebook.com/groups/429829328127055/posts/1605982830511693/," โคมไฟโซล่าเซลล์ 120w สปอตไลท์ โคมไฟสปอร์ตไลท์ติดสนาม ไฟพลังงานแสงอาทิตย์ ไฟกลางแจ้ง ไฟสวนโซล่าเซลล์ 
 ราคา  ฿626  บาท
สั่งซื้อ https://s.shopee.co.th/4AwKnYXbZ0
สั่งซื้อ https://s.lazada.co.th/s.ZgGU",0,โพสต์เป็นการประกาศขายโคมไฟโซล่าเซลล์ ไม่ใช่ผู้สนใจซื้อหรือติดตั้ง,2 ชั่วโมง,2026-04-27 14:55:57
35,❌ Rejected,429829328127055,https://www.facebook.com/groups/429829328127055/posts/1605965847180058/,"จำหน่ายแผงโซล่าร์เซลล์
คุณภาพมาตรฐานระดับโลก Tier 1... ดูเพิ่มเติม",0,โพสต์นี้เป็นผู้ขายแผงโซล่าร์เซลล์ (จำหน่าย) ไม่ใช่ผู้ต้องการซื้อหรือติดตั้ง,2 ชั่วโมง,2026-04-27 14:55:57
36,❌ Rejected,429829328127055,https://www.facebook.com/groups/429829328127055/posts/1605932430516733/,"แผงโซลาร์เซลล์ 245W มือสอง
ราคา 550บาท / แผง
ซื้อ 10 แผงขึ้นไป เหลือ 530 บาท / แผง
หน้าร้าน สระบุรี
 พิกัดทักแชต
ดูเพิ่มเติม",0,ผู้โพสต์เป็นผู้ขายแผงโซลาร์เซลล์มือสอง ไม่ได้แสดงความต้องการซื้อหรือติดตั้ง,3 ชั่วโมง,2026-04-27 14:56:02
37,❌ Rejected,429829328127055,https://www.facebook.com/groups/429829328127055/posts/1605920130517963/,"ขออนุญาตแอดมินค่ะ 
เลิกเกรงใจมิเตอร์ไฟ! เปิดแอร์ฉ่ำๆ ได้ทั้งคืน ไม่ต้องกลัวบิลสิ้นเดือน
.
 ไม่ต้องจ่ายเงินก้อน ก็ติดตั้งได้
 ผ่อนรายเดือน สูงสุด 84 เดือน
ดูเพิ่มเติม",0,โพสต์นี้เป็นเนื้อหาโฆษณาขายแพ็กเกจติดตั้งโซลาร์เซลล์แบบผ่อนชำระ ไม่ใช่ผู้ที่ต้อง,3 ชั่วโมง,2026-04-27 14:56:07
38,❌ Rejected,429829328127055,https://www.facebook.com/groups/429829328127055/posts/1605898613853448/,"จำหน่ายแผงโซล่าร์เซลล์
คุณภาพมาตรฐานระดับโลก Tier 1... ดูเพิ่มเติม",0,ผู้โพสต์เป็นผู้จำหน่าย/ขายแผงโซล่าร์เซลล์ ไม่ใช่ผู้ต้องการซื้อหรือติดตั้ง,4 ชั่วโมง,2026-04-27 14:56:16
